efta,justice_gov_url,dataset,original_size,scan_size,diff_bytes,diff_pct,content_type,ocr_text
EFTA01025305,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025305.pdf,9,1741098,780828,-960270,-55.15,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025305&efta_number=EFTA01025305
EFTA02729648,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02729648.pdf,11,4894095,3963044,-931051,-19.02,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02729648&efta_number=EFTA02729648
EFTA00059973,https://www.justice.gov/epstein/files/DataSet%209/EFTA00059973.pdf,9,9393058,10286647,893589,9.51,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00059973&efta_number=EFTA00059973
EFTA00060373,https://www.justice.gov/epstein/files/DataSet%209/EFTA00060373.pdf,9,8916052,9780021,863969,9.69,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00060373&efta_number=EFTA00060373
EFTA01025568,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025568.pdf,9,1560619,753556,-807063,-51.71,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025568&efta_number=EFTA01025568
EFTA01025651,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025651.pdf,9,1560647,754780,-805867,-51.64,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025651&efta_number=EFTA01025651
EFTA01025734,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025734.pdf,9,1515925,724588,-791337,-52.20,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025734&efta_number=EFTA01025734
EFTA00061061,https://www.justice.gov/epstein/files/DataSet%209/EFTA00061061.pdf,9,9831577,10604128,772551,7.86,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00061061&efta_number=EFTA00061061
EFTA01726367,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01726367.pdf,10,34982564,34233751,-748813,-2.14,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01726367&efta_number=EFTA01726367
EFTA01726077,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01726077.pdf,10,6920955,6181509,-739446,-10.68,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01726077&efta_number=EFTA01726077
EFTA00434585,https://www.justice.gov/epstein/files/DataSet%209/EFTA00434585.pdf,9,754145,16092,-738053,-97.87,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00434585&efta_number=EFTA00434585
EFTA01308147,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01308147.pdf,10,1172253,456770,-715483,-61.03,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01308147&efta_number=EFTA01308147
EFTA00061698,https://www.justice.gov/epstein/files/DataSet%209/EFTA00061698.pdf,9,8691933,9389312,697379,8.02,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00061698&efta_number=EFTA00061698
EFTA00063136,https://www.justice.gov/epstein/files/DataSet%209/EFTA00063136.pdf,9,6945360,7630938,685578,9.87,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00063136&efta_number=EFTA00063136
EFTA01126198,https://www.justice.gov/epstein/files/DataSet%209/EFTA01126198.pdf,9,12453047,13129861,676814,5.43,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01126198&efta_number=EFTA01126198
EFTA01656500,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656500.pdf,10,812423,148083,-664340,-81.77,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656500&efta_number=EFTA01656500
