document_id,dataset,pages,verification_url,url_type,notes
DOJ-OGR-00000215,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000215.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000217,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000217.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000219,99,21,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000219.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000240,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000240.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000242,99,14,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000242.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000256,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000256.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000257,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000257.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000258,99,14,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000258.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000272,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000272.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000273,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000273.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000274,99,16,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000274.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000290,99,15,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000290.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000305,99,15,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000305.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000320,99,3,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000320.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000323,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000323.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000325,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000325.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000327,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000327.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000329,99,14,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000329.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000343,99,10,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000343.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000353,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000353.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000355,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000355.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000357,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000357.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000359,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000359.jpg,archive_org_page_image,DOJ First Production page image
